source_id,ra,dec,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,ag_gspphot,abs_mag_g,parallax_over_error
5901290291706037504,223.26386596507962,-50.834297906869466,321.7415177277177,7.541840486284196,0.853937205979321,0.03005045,15.218418,1.3082495,0.9694786,0.9934,3.882147824386138,28.416786847209963
5901290424823916672,223.29395315766982,-50.80326034435178,321.7728288860976,7.560845482116042,1.0249513584955419,0.194794,17.958714,1.9113922,1.3447254,0.3945,7.617729821146597,5.261719368824018
5901296953178346496,223.25508900564785,-50.616638443079054,321.83631391444766,7.738255970176192,0.3456801247023499,0.059400655,16.235634,1.5835886,1.037424,1.2663,2.662705936963876,5.819466515755117
5901299912433127424,223.66198835563165,-50.80626774718122,321.98008207243936,7.451831577195828,0.4189147115563178,0.057736535,16.50017,1.4603863,1.0337089,1.1597,3.4510977794601505,7.255626169375427
5901305478710893056,223.69756641619887,-50.65077741833772,322.0723877709675,7.579541611682767,0.5071426142047323,0.019117912,14.208191,0.8066664,1.0006996,,2.733841442965913,26.52709181009728
5901307986971947520,223.91434984583913,-50.61294135577499,322.2130540930764,7.549619778522892,0.7137151129024099,0.10397389,17.413776,1.4311771,1.0767845,0.6534,6.028000858948797,6.864368810158389
5901339666651838592,222.74894667508437,-50.67676772350537,321.51983587855455,7.829358543063628,1.2896213018760154,0.028512059,15.109477,1.0885172,1.0078048,0.0756,5.58618803574946,45.23073243658032
5901367120083456384,222.91426536098825,-50.25816761012655,321.8045713334073,8.156149285759232,0.3644794611959067,0.066558644,16.643297,1.5712042,1.0073756,0.9473,3.504362480499392,5.476064990667416
5901396635099841920,223.3760948763172,-49.95032248180669,322.21237622251664,8.296184722384842,0.37507074083570113,0.05481743,16.066666,1.5717554,1.016092,0.8013,3.1359315915916817,6.84218023750887
5901405121954945280,225.06607470939713,-51.169753119918596,322.59520696456633,6.716540228595833,4.353883938957891,0.01781711,13.860826,1.5084677,0.9575326,0.3233,6.73190977420715,244.36533097427701
5901434327733657344,225.01986060957958,-50.684036870599115,322.80308147804976,7.157207323935465,0.927625908538496,0.10151953,17.302994,1.6177444,0.97392756,0.4364,6.703458127910146,9.137413123164105
5901437420110144000,224.98696974523565,-50.65813201751978,322.79707950494327,7.189920095352943,1.6458813053523829,0.027343538,14.678775,1.10116,1.0895264,0.2028,5.5579673897701,60.19269803018977
5901439103737443328,225.00142697846215,-50.54726732045251,322.8585370150782,7.282968920150801,0.9283774308381276,0.01817936,13.045181,0.7105694,1.1996174,,2.88380414476387,51.067660861076675
5901448758824414720,225.63993912301893,-50.6152561896607,323.1837028014515,7.028185561397535,1.5644123780061927,0.020117043,14.067174,0.9083891,0.9974577,0.2009,4.838030172189981,77.7655249921667
5901451297119063296,225.8137187361478,-50.48714273476421,323.3437239448072,7.086364853917792,1.21233092809761,0.099409685,17.295612,1.8094921,1.0284284,1.179,6.534718238707832,12.195300022543874
5901452744554079232,225.52996327856306,-50.57288395019542,323.14287569913546,7.09909203545954,1.5966436710111864,0.038842775,15.565116,1.3593588,0.89380693,0.1955,6.385655946413728,41.10529368683229
5901456249247511168,225.60098415883058,-50.38254923185247,323.2756984697718,7.243670894932808,2.188569029957388,0.044919997,15.990385,1.7252808,1.0385954,0.3611,7.330086313856221,48.72148606450169
5238334601776598528,166.32018645449676,-67.1607995146045,292.8817609304579,-6.3838246597203465,0.7532503310879077,0.050133213,16.722857,1.3236847,1.0738089,0.5861,5.521453195533226,15.024976058591834
4469719005495094016,270.3280054014672,3.980888453525579,30.761175660121506,12.961492090405804,1.519232055920767,0.019692013,13.311784,1.0577364,0.9287914,0.4258,3.7941043723014243,77.14965721485711
4469745599932793600,270.34581486946934,4.308277646373456,31.069094245151888,13.093792282876269,0.37816329554299427,0.05264763,16.307264,1.2296524,1.0699706,0.2555,3.940161209285346,7.182911822236181
4469752918556349184,269.70108563976487,3.9488325878281816,30.440617877272203,13.504451534137633,1.874078469316153,0.06603986,16.663586,2.6659527,1.1240026,0.9014,7.126124489307223,28.377989630237842
4469761886448359936,269.8383201461459,4.097621556070439,30.64080351912056,13.449851798101497,0.32081929206433624,0.030663978,15.08729,0.888566,1.0855535,0.3407,2.2778921904032963,10.462415829978632
4469792290519205632,269.9234662435813,4.3179734447379685,30.882366550413316,13.473841246127622,0.17303560268792895,0.025003107,12.274776,2.6187735,1.1215525,0.2598,-1.7943461785861743,6.920563946572124
4469830709010770560,272.7451410223968,2.616050816221108,30.639311336493137,10.191753172395613,4.098239235148342,0.013799492,13.031302,1.1726322,0.9914519,0.1774,5.916888993101757,296.9847842975225
4469843971865495936,272.68326567220174,2.7049437688063582,30.69112162668096,10.287266439795248,0.6864466124028432,0.081111476,17.190914,1.4604073,1.0285478,0.8939,5.480048007502912,8.463002373193742
4469868985760628608,273.45847356915453,2.9519175098106163,31.272085888815635,9.710085795811214,0.1499035968397767,0.02819972,15.262549,1.77279,1.0227832,1.1902,-0.04859030292803013,5.315783303746565
4469907743546279680,272.5178360870626,2.998082765758118,30.880088124935252,10.567785784696827,0.39382888456305387,0.07147755,10.023629,4.9171906,1.1523818,1.3796,-3.3794330325344415,5.509826505049887
4469949147032102656,272.67240403898757,3.2620836338080266,31.19064794303719,10.550243342009413,1.011272793439322,0.020753812,14.267373,1.0730076,1.0626563,0.4882,3.8035146933996167,48.727086438552924
4469967147243521664,273.550011553626,3.156801650267772,31.499395725616008,9.721694181656629,0.3101674740800979,0.026821155,14.760924,0.73193645,1.072699,1.0109,1.208005585113245,11.564284718961629
4469973400697223168,273.67922290604974,3.2008076571381747,31.59856659688125,9.626701373349873,0.16601079590569448,0.023523686,12.063889,2.8942547,1.0435971,,-1.8354297916271491,7.057176018411964
4469980135205931264,273.62736219161025,3.3488379726020296,31.708577991493,9.739987001308158,0.9504894433433864,0.018253412,12.055625,0.58265305,1.0901767,1.163,0.782361462829515,52.071877753942935
4469991684384243840,273.49274426438427,3.3936431667261715,31.687276826394324,9.880080743133231,0.6086208129673392,0.025582787,14.806223,1.1751003,0.98767793,0.6322,3.0957569120638517,23.790246985468787
4469992715176364672,273.6502069454764,3.4323333200000437,31.794581609083156,9.757507953716106,2.035497880326408,0.035253584,15.385046,1.482233,1.0584086,0.4185,6.509899271357217,57.73874957229063
4470017316749986048,273.6362132611701,3.4946926251328088,31.844568599131257,9.79821617583237,0.609976614569354,0.11500416,17.474463,1.6275482,1.0486633,0.4413,5.959728430650973,5.303952632388005
4470066343789516032,273.10351163749664,3.770533571666765,31.849883319438018,10.39712532093762,1.4209311205732134,0.015821276,12.839443,0.7974329,0.9771181,0.4032,3.1991083366459065,89.81140962859509
4470070844919440512,273.4937327115578,3.677854491708508,31.94497428007422,10.007945580086147,0.9366339906701406,0.015659986,13.378786,0.7343111,0.95652366,0.5508,2.685835633483121,59.81065288640411
4470077927330133248,273.69535801673624,3.7676942521748003,32.118742248087095,9.869176985111732,0.4045036035173224,0.040943738,15.871494,1.1697254,0.993247,0.4291,3.4770062607674372,9.879498613317292
4470083390528716800,273.5993994361907,3.8835657874539966,32.17970161932218,10.006973603719832,0.4330705235000429,0.023918293,14.696512,0.7073698,1.0833002,0.5018,2.3775053462642077,18.106246794400814
4470088647568890368,273.3355712887946,3.8637134546807506,32.040812277107314,10.232776769620692,1.3056989274013477,0.030054694,15.311674,1.1662006,0.99700224,0.1955,5.695389353485828,43.44409314543842
4470097237503461248,273.49243944734417,3.979537368018712,32.2176623277325,10.145538727719744,0.481652635444643,0.014984428,13.324379,0.35048866,1.0340332,0.606,1.1320486658117925,32.14354508632531
4470120121084355200,272.31231787785856,3.339792510916106,31.0950316280722,10.90583460157433,0.36141427988856933,0.050420318,16.095915,1.5053968,1.031687,0.6092,3.2767413800954053,7.168028597725174
4470202408356380672,271.71671617557126,3.675943561136438,31.125545139649347,11.588120609898157,0.6997148598021414,0.02208308,14.126035,0.657279,1.2045224,0.4318,2.9188402142917322,31.685565485909915
6027716463677835520,253.48537083960608,-31.700110888927824,351.3452268695138,7.574325478499262,0.22290356446721132,0.04369928,11.948243,3.9297028,0.8591275,,-1.3111717919726456,5.100852173932944
6027724267704971264,253.41512332334779,-31.473513478973018,351.4864814687324,7.762287320082459,1.3990865669417702,0.03201521,15.051093,1.1616049,1.0334171,0.4361,5.344216029479712,43.70068625422647
6027729417300729600,253.73618786461086,-31.310228240676636,351.7874686376059,7.649101510666966,0.1807624233789758,0.033097353,12.627054,3.302557,0.94245154,,-1.0874050103362372,5.461537189801211
6027736705933559552,253.42825561975226,-31.40332946653898,351.54893959030045,7.797241591183476,0.7642335388085522,0.04396197,15.956351,1.2984533,0.98384553,0.7675,4.604981762013999,17.383970027548408
6027741481937149568,253.33657602654833,-31.28063274015062,351.59656408946483,7.9349369040800335,2.414745150911899,0.031000579,15.124919,1.5358791,0.95805776,,7.03927545081649,77.89355058045541
6027772440066784000,253.6942871437489,-31.05100466661257,351.9702559602754,7.837985898050678,1.0660389010854268,0.04055532,15.752047,1.3466043,0.93872267,0.3788,5.512111844989974,26.286042945961206
6027812881431003136,252.23793641925747,-31.59853394727427,350.7518209136489,8.46465634340888,0.3034245492627299,0.017441906,13.36979,2.1946278,1.0310427,1.6673,-0.8872563313331732,17.39629537361291
6027838754316227328,252.91729482793235,-31.28683079497169,351.3654547127467,8.21075140666992,1.1521942256832198,0.034286376,15.438375,1.3955021,1.0198565,0.431,5.315003950710507,33.60501625185342
6027838956144663168,252.95704563323798,-31.2692631073309,351.40079551604754,8.195283204107328,1.5543082059065196,0.03274378,15.193505,1.2921677,0.9769718,0.4336,5.717590977946546,47.46880537993783
6027857819639128832,252.08738929126758,-31.657669701949324,350.62345352930475,8.526383306494646,1.4657882767897057,0.06131667,16.554043,1.5750418,0.9904278,0.6438,6.7405990156062,23.90521698257809
6027862870518210688,251.91704682054612,-31.55592274368455,350.60983782063164,8.70306908107905,3.0386528522988474,0.01652876,13.638131,1.1989965,0.96241564,0.3204,5.731136579030416,183.84034907949163
6027881424777252992,251.91689249709628,-31.332394580652416,350.7844433909957,8.845150570512821,0.2156417430503087,0.023782505,14.426755,1.7875471,0.9568714,,1.0954191195247276,9.067242730178597
